"ASV"	"s.COLUMBIA"	"s.TANZANIA"	"index"	"stat"	"p.value"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"15"	"e0a81e8a648c4ce05553434f0ef609f2"	1	0	1	0.365338767090074	0.005	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Marinifilaceae"	"g__Sanguibacteroides"	"s__Gabonibacter_massiliensis"
"16"	"7e1a2263713bcc1c68b6dee15cedda5e"	1	0	1	0.658278266470886	0.005	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Marinifilaceae"	"g__Butyricimonas"	NA
"17"	"e84db6c38f15b979be49889982e740d7"	0	1	2	0.679135104228841	0.005	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__p-2534-18B5_gut_group"	"g__p-2534-18B5_gut_group"	"s__uncultured_bacterium"
"18"	"371a555ac1c599839b5c7d2b31eac641"	1	0	1	0.250326157999099	0.005	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Flavobacteriales"	"f__Flavobacteriaceae"	"g__Capnocytophaga"	NA
"19"	"aa24fe371fa44dab788615bbfdbae971"	0	1	2	0.553283335172488	0.005	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Rikenellaceae"	"g__dgA-11_gut_group"	"s__uncultured_bacterium"
"20"	"d0ef8bada71414ad159352a03f0e3d9f"	1	0	1	0.939672563575375	0.005	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Rikenellaceae"	"g__Alistipes"	"s__uncultured_Alistipes"
"21"	"a6e54810ec4d5d4389eb4ea56bd774c0"	1	0	1	0.191189761243058	0.005	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Rikenellaceae"	"g__Rikenella"	"s__uncultured_bacterium"
"22"	"f9eae200993d113ee7a5eee1179ae41c"	0	1	2	0.933643629021782	0.005	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Rikenellaceae"	"g__Rikenellaceae_RC9_gut_group"	"s__uncultured_bacterium"
"23"	"db49a035794f182c3a4b1428ccafa2f8"	1	0	1	0.762923864656412	0.005	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Prevotellaceae"	"g__Paraprevotella"	NA
"24"	"56a69ed3f38d61391ec33fd27654c818"	1	0	1	0.1615848401751	0.03	"d__Bacteria"	"p__Synergistota"	"c__Synergistia"	"o__Synergistales"	"f__Synergistaceae"	"g__Pyramidobacter"	"s__unidentified"
"25"	"6674635698710cc41de31f07a378c711"	0	1	2	0.666322959411699	0.005	"d__Bacteria"	"p__Verrucomicrobiota"	"c__Kiritimatiellae"	"o__WCHB1-41"	"f__WCHB1-41"	"g__WCHB1-41"	"s__uncultured_rumen"
"26"	"5a9495f19cff5cd6c8ae487d2a5b9252"	1	0	1	0.251346703283992	0.005	"d__Bacteria"	"p__Actinobacteriota"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Actinomycetaceae"	"g__Mobiluncus"	"s__Mobiluncus_curtisii"
"27"	"71a455053a2bf131f27c8ce7b957eac1"	1	0	1	0.191189761243058	0.01	"d__Bacteria"	"p__Actinobacteriota"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Actinomycetaceae"	"g__Varibaculum"	NA
"28"	"6958a8a1ba9f4d38afdfd17343197aa0"	1	0	1	0.892527065417208	0.005	"d__Bacteria"	"p__Actinobacteriota"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Actinomycetaceae"	"g__Actinomyces"	"s__Schaalia_odontolytica"
"29"	"3f7ba2376df1360b8242f01e3ffb7f54"	1	0	1	0.310814645931183	0.005	"d__Bacteria"	"p__Actinobacteriota"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Actinomycetaceae"	"g__F0332"	"s__uncultured_bacterium"
"30"	"746c182fc380fc5412a29ec859395b7a"	1	0	1	0.204390452123038	0.005	"d__Bacteria"	"p__Actinobacteriota"	"c__Actinobacteria"	"o__Micrococcales"	"f__Micrococcaceae"	"g__Kocuria"	"s__Rothia_kristinae"
"31"	"981012ad2d8c51001218c8220d85afab"	1	0	1	0.788624711874512	0.005	"d__Bacteria"	"p__Actinobacteriota"	"c__Actinobacteria"	"o__Micrococcales"	"f__Micrococcaceae"	"g__Rothia"	NA
"32"	"321c099ca79741801dde12522805c87d"	1	0	1	0.938531589489936	0.005	"d__Bacteria"	"p__Actinobacteriota"	"c__Actinobacteria"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	NA
"33"	"09e153ad36bbf8b4ba76e45150b76e0a"	1	0	1	0.233534161868485	0.005	"d__Bacteria"	"p__Actinobacteriota"	"c__Actinobacteria"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Gardnerella"	NA
"34"	"156f070cd2af0b5f3f5a06bb4fcf57a2"	1	0	1	0.169471610105804	0.015	"d__Bacteria"	"p__Actinobacteriota"	"c__Actinobacteria"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Alloscardovia"	"s__Alloscardovia_omnicolens"
"35"	"87766e3c81e50fb069e4dd2f72a97729"	1	0	1	0.487440161688749	0.005	"d__Bacteria"	"p__Actinobacteriota"	"c__Actinobacteria"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Scardovia"	"s__Scardovia_wiggsiae"
"36"	"4cd27393119d26f5e115e00422baaf68"	0	1	2	0.433307168231517	0.005	"d__Bacteria"	"p__WPS-2"	"c__WPS-2"	"o__WPS-2"	"f__WPS-2"	"g__WPS-2"	"s__uncultured_rumen"
"37"	"aabe49491720ad42b88f6ad83c3bef89"	1	0	1	0.260547725941856	0.005	"d__Bacteria"	"p__Actinobacteriota"	"c__Actinobacteria"	"o__Corynebacteriales"	"f__Corynebacteriaceae"	"g__Lawsonella"	"s__uncultured_bacterium"
"38"	"8d3656ba52952ce729f63ce90df3e6f2"	1	0	1	0.475769607398959	0.005	"d__Bacteria"	"p__Actinobacteriota"	"c__Actinobacteria"	"o__Corynebacteriales"	"f__Corynebacteriaceae"	"g__Corynebacterium"	"s__Corynebacterium_durum"
"39"	"e916cf378f75c572718b6451a8814c78"	0	1	2	0.110656667034498	0.04	"d__Bacteria"	"p__Actinobacteriota"	"c__Actinobacteria"	"o__Micromonosporales"	"f__Micromonosporaceae"	NA	NA
"40"	"940f0895f48be13d345af78a1a60cc1b"	0	1	2	0.127775312999988	0.025	"d__Bacteria"	"p__Actinobacteriota"	"c__Actinobacteria"	"o__Frankiales"	"f__Geodermatophilaceae"	"g__Geodermatophilus"	NA
"41"	"e18bf79a3640ac4d3f6cb33079b3a3b9"	0	1	2	0.387157707468665	0.005	"d__Bacteria"	"p__Verrucomicrobiota"	"c__Lentisphaeria"	"o__Oligosphaerales"	"f__Oligosphaeraceae"	"g__Z20"	"s__uncultured_bacterium"
"42"	"0e7e3ba07a380afca33ae4aeec9f87e0"	1	0	1	0.87151850455098	0.005	"d__Bacteria"	"p__Actinobacteriota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__Slackia"	NA
"43"	"b1e05ad6afe1a687329a8f3dca2aa463"	1	0	1	0.812372678755975	0.005	"d__Bacteria"	"p__Actinobacteriota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__Senegalimassilia"	"s__uncultured_bacterium"
"44"	"eed0b9b564fdc5ed2b0d653100c08b40"	1	0	1	0.846253583134361	0.005	"d__Bacteria"	"p__Actinobacteriota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__Enterorhabdus"	"s__uncultured_bacterium"
"45"	"9e32bfd56990e7ea3f74d22606af841c"	1	0	1	0.327184364472221	0.005	"d__Bacteria"	"p__Actinobacteriota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__CHKCI002"	"s__uncultured_bacterium"
"46"	"61a8fdfc18fd59e1bf39ad0cde1178f3"	1	0	1	0.526082124851979	0.005	"d__Bacteria"	"p__Actinobacteriota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	NA	NA
"47"	"863e33524fa77316aa6a0aff7b20a2fa"	1	0	1	0.177007323829538	0.02	"d__Bacteria"	"p__Actinobacteriota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__Parvibacter"	"s__uncultured_bacterium"
"48"	"c5a14c2faa632c54686696f9a786477d"	1	0	1	0.382379522486116	0.005	"d__Bacteria"	"p__Actinobacteriota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__Adlercreutzia"	NA
"49"	"f7d3fc1c9827aa2a5831cada6f26ab16"	1	0	1	0.169471610105804	0.01	"d__Bacteria"	"p__Actinobacteriota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__DNF00809"	NA
"50"	"8437b8f3ec3aed7b430c8ad596e32a92"	1	0	1	0.498908370276934	0.005	"d__Bacteria"	"p__Actinobacteriota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__Gordonibacter"	NA
"51"	"bcb02e7080cc023b9b4f511d1b363cef"	1	0	1	0.759752887911827	0.005	"d__Bacteria"	"p__Actinobacteriota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__uncultured"	NA
"52"	"090c44fd9711d3b882ae1f289e616638"	1	0	1	0.1615848401751	0.01	"d__Bacteria"	"p__Actinobacteriota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__Cryptobacterium"	NA
"53"	"ec5ad3c740085379b2844bd95a375a36"	1	0	1	0.378950040452919	0.005	"d__Bacteria"	"p__Actinobacteriota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__Eggerthella"	"s__uncultured_bacterium"
"54"	"3ec88ac1a5e717c18050064ca177745d"	1	0	1	0.750435120859747	0.005	"d__Bacteria"	"p__Actinobacteriota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Atopobiaceae"	"g__uncultured"	"s__uncultured_bacterium"
"55"	"439c28cf0a24bee4265da96f11d6e02d"	1	0	1	0.952024174814176	0.005	"d__Bacteria"	"p__Actinobacteriota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"	NA
"56"	"b91c5d39d5a90541029b48ad86392815"	1	0	1	0.515635249225055	0.005	"d__Bacteria"	"p__Actinobacteriota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Atopobiaceae"	"g__Libanicoccus"	"s__uncultured_bacterium"
"57"	"f7a952b74a418a9fece0f48d41b33051"	0	1	2	0.372525851725866	0.005	"d__Bacteria"	"p__Fibrobacterota"	"c__Fibrobacteria"	"o__Fibrobacterales"	"f__Fibrobacteraceae"	"g__Fibrobacter"	"s__Fibrobacter_intestinalis"
"58"	"653588840a2490061d6a38e08a2e933b"	1	0	1	0.21350881819369	0.015	"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Rhizobiaceae"	"g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"	NA
"59"	"3914ff91eef1cf2178619fda665048c9"	0	1	2	0.761353213561278	0.005	"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodospirillales"	"f__uncultured"	"g__uncultured"	"s__uncultured_bacterium"
"60"	"37d9a0aebee1c4f089c91a34cbe74a64"	0	1	2	0.355526875345864	0.005	"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	NA	NA	NA	NA
"61"	"436e689124aca0c5ed343436bfc97e69"	0	1	2	0.863510218400425	0.005	"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Aeromonadales"	"f__Succinivibrionaceae"	"g__Succinivibrio"	"s__uncultured_rumen"
"62"	"cf308aad3157d9ddf90da767159db135"	1	0	1	0.191189761243058	0.01	"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Cardiobacteriales"	"f__Cardiobacteriaceae"	"g__Cardiobacterium"	"s__Cardiobacterium_valvarum"
"63"	"288f8f6d8236ed0abd47cd94a587aefb"	1	0	1	0.396326859983304	0.005	"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Sutterellaceae"	"g__Parasutterella"	"s__uncultured_organism"
"64"	"0e2bd694e17ba3f05de5ed8fb784c924"	0	1	2	0.110656667034498	0.045	"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Rhodocyclaceae"	NA	NA
"65"	"1b81f2f1ada533aecdd9aa375463aa44"	1	0	1	0.720820536216061	0.005	"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae"	"g__Burkholderia-Caballeronia-Paraburkholderia"	NA
"66"	"82dc0e2f17b3bea59f94304aa1cd0107"	1	0	1	0.363444315735448	0.005	"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Neisseriaceae"	"g__Neisseria"	NA
"67"	"243207c5fea38e5f8490b49f9f7162ff"	1	0	1	0.32990435013566	0.005	"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Comamonadaceae"	NA	NA
"68"	"8ca5d5d7e9ba801650d63185fc75e173"	1	0	1	0.702476038635053	0.005	"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Alcaligenaceae"	"g__Achromobacter"	NA
"69"	"843dbf77fe125fe3968d5e18fce5c434"	1	0	1	0.265510985744307	0.005	"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Alcaligenaceae"	NA	NA
"70"	"202cd46edba034625ea18e582cd7b6c6"	1	0	1	0.206357209042268	0.03	"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Yersiniaceae"	NA	NA
"71"	"00544a8c032d71ec4e38e36534904971"	1	0	1	0.169471610105804	0.025	"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Hafniaceae"	"g__Hafnia-Obesumbacterium"	NA
"72"	"38b5a70d2076cf03700b01da5381b5ac"	1	0	1	0.390214985288105	0.005	"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Morganellaceae"	"g__Proteus"	NA
"73"	"b9ec6c9eb36a389b35f4e4616e3f095e"	1	0	1	0.228515472449515	0.005	"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pasteurellales"	"f__Pasteurellaceae"	"g__Actinobacillus"	NA
"74"	"a07ac5e2a510b617c3ce63477ee3a1ef"	1	0	1	0.18562265980763	0.04	"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pasteurellales"	"f__Pasteurellaceae"	"g__Aggregatibacter"	NA
"75"	"b336b82426352334f816d0d1a5495c91"	1	0	1	0.87485141635893	0.005	"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"	NA	NA
"76"	"09e112bd7cb7f492d54d7033edeb3631"	1	0	1	0.30251623774575	0.005	"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacterales"	NA	NA	NA
"77"	"ee3535f42ed6756955fef89fd67058bb"	1	0	1	0.936485834705635	0.005	"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"	"g__Escherichia-Shigella"	NA
"78"	"7afb3af50ad7a6d25645700e5dcd293b"	0	1	2	0.660648598735176	0.005	"d__Bacteria"	"p__Campilobacterota"	"c__Campylobacteria"	"o__Campylobacterales"	"f__Campylobacteraceae"	"g__Campylobacter"	"s__Campylobacter_upsaliensis"
"79"	"d79b11a5758291acc8481ccde65776fa"	1	0	1	0.575242543275877	0.005	"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Pseudomonadaceae"	"g__Pseudomonas"	NA
"80"	"f89414b5d062d6d9e65b4a15682e5350"	0	1	2	0.388613443106727	0.005	"d__Bacteria"	"p__Desulfobacterota"	"c__Desulfuromonadia"	"o__Bradymonadales"	"f__Bradymonadales"	"g__Bradymonadales"	"s__uncultured_rumen"
"81"	"3a8c6ac8c53ca6790128252f90f78e96"	1	0	1	0.753908625242516	0.005	"d__Bacteria"	"p__Desulfobacterota"	"c__Desulfovibrionia"	"o__Desulfovibrionales"	"f__Desulfovibrionaceae"	"g__Bilophila"	NA
"82"	"f5669e919b565d7aa3ab43b69075f376"	1	0	1	0.408565302331569	0.005	"d__Bacteria"	"p__Desulfobacterota"	"c__Desulfovibrionia"	"o__Desulfovibrionales"	"f__Desulfovibrionaceae"	"g__uncultured"	NA
"83"	"50e384b3414b3433775a4a7db3e93232"	1	0	1	0.1615848401751	0.02	"d__Bacteria"	"p__Deferribacterota"	"c__Deferribacteres"	"o__Deferribacterales"	"f__Deferribacteraceae"	"g__Mucispirillum"	NA
"84"	"59e2c999b4e6ec8c7e4c2b0d1cbe9d01"	0	1	2	0.18070158058105	0.005	"d__Bacteria"	"p__Verrucomicrobiota"	"c__Verrucomicrobiae"	"o__Opitutales"	"f__Puniceicoccaceae"	"g__Lentimonas"	NA
"85"	"4a63c8f9ca2381026bc8bbf97d576179"	0	1	2	0.18070158058105	0.005	"d__Bacteria"	"p__Verrucomicrobiota"	"c__Verrucomicrobiae"	"o__Opitutales"	"f__Puniceicoccaceae"	"g__Cerasicoccus"	"s__uncultured_bacterium"
"86"	"ed6993c7ba56ca9e625448288ebec14d"	1	0	1	0.949671116597755	0.005	"d__Bacteria"	"p__Verrucomicrobiota"	"c__Verrucomicrobiae"	"o__Verrucomicrobiales"	"f__Akkermansiaceae"	"g__Akkermansia"	"s__uncultured_bacterium"
"87"	"e2fa502bd4e0c428a5ae73bf28591041"	1	0	1	0.589286420715501	0.005	"d__Bacteria"	"p__Actinobacteriota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriales_Incertae_Sedis"	"g__Raoultibacter"	NA
"88"	"172e1605657d90f0a93e534921cd5b9f"	1	0	1	0.818854356869321	0.005	"d__Bacteria"	"p__Actinobacteriota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriales_Incertae_Sedis"	"g__uncultured"	"s__uncultured_bacterium"
"89"	"cf67ce956d730c4d662b2493a26fe63e"	1	0	1	0.683047598966294	0.005	"d__Bacteria"	"p__Actinobacteriota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Atopobiaceae"	"g__Atopobium"	"s__uncultured_bacterium"
"90"	"19130d754d8edcf666a461bc4f92228c"	0	1	2	0.266709866006389	0.005	"d__Bacteria"	"p__Actinobacteriota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Atopobiaceae"	"g__Coriobacteriaceae_UCG-003"	"s__uncultured_bacterium"
"91"	"a66b5cf9d2ca4ad4e2695d25dde193ea"	1	0	1	0.413085725657789	0.005	"d__Bacteria"	"p__Actinobacteriota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Atopobiaceae"	"g__Olsenella"	NA
"92"	"7aaa80f8830b124093d7081506c9c894"	1	0	1	0.438576777551764	0.005	"d__Bacteria"	"p__Firmicutes"	"c__Negativicutes"	"o__Acidaminococcales"	"f__Acidaminococcaceae"	"g__Acidaminococcus"	NA
"93"	"f9b895d2c0d0b1ee12fb0b5ee9040c81"	1	0	1	0.586019324391812	0.005	"d__Bacteria"	"p__Fusobacteriota"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Fusobacteriaceae"	"g__Fusobacterium"	NA
"94"	"4a70339e6f1858633b5c2ee675b7d268"	1	0	1	0.354014647659077	0.005	"d__Bacteria"	"p__Fusobacteriota"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Leptotrichiaceae"	NA	NA
"95"	"6f4a692ffaef05a1103bdf8a5075b5d1"	1	0	1	0.284499468858342	0.005	"d__Bacteria"	"p__Fusobacteriota"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Leptotrichiaceae"	"g__Leptotrichia"	"s__uncultured_bacterium"
"96"	"eb08e387388795b647a062bcf00b2fe8"	1	0	1	0.491813962777427	0.005	"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Erysipelotrichales"	"f__Erysipelotrichaceae"	"g__Holdemania"	NA
"97"	"bc21fdb30a7ecb4bfafbd916e3075f63"	0	1	2	0.695308341682486	0.005	"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Erysipelotrichales"	"f__Erysipelotrichaceae"	"g__uncultured"	"s__uncultured_bacterium"
"98"	"166d8fd1504c7b7c6d925782c4c7ee44"	0	1	2	0.463529188638696	0.005	"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Acholeplasmatales"	"f__Acholeplasmataceae"	"g__Anaeroplasma"	"s__uncultured_bacterium"
"99"	"a33d5a97bc9381cbfba2b76c6fbf2d4c"	1	0	1	0.260547725941856	0.005	"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Erysipelotrichales"	"f__Erysipelotrichaceae"	"g__Dielma"	NA
"100"	"664cf1e1002edf46154851958bcd2869"	1	0	1	0.244400104796269	0.005	"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Erysipelotrichales"	"f__Erysipelotrichaceae"	"g__Faecalitalea"	"s__Faecalitalea_cylindroides"
"101"	"08d3d8b9ba67f16aaa5fe2955444ef12"	1	0	1	0.191189761243058	0.01	"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Erysipelotrichales"	"f__Erysipelotrichaceae"	NA	NA
"102"	"f67a11b4d6987a74db45415cefd5b059"	1	0	1	0.169471610105804	0.02	"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Erysipelotrichales"	"f__Erysipelotrichaceae"	"g__[Clostridium]_innocuum_group"	NA
"103"	"dd3659b9abefda64d946f9eca8ffa836"	1	0	1	0.197900204299083	0.005	"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Erysipelotrichales"	"f__Erysipelatoclostridiaceae"	"g__Coprobacillus"	NA
"104"	"afcfff3c6681e438263b398de33f067d"	0	1	2	0.244411261268149	0.005	"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Erysipelotrichales"	"f__Erysipelatoclostridiaceae"	"g__uncultured"	"s__uncultured_Erysipelotrichaceae"
"105"	"4ed3060b2f32594a68730d942b81bd3c"	0	1	2	0.463102158452027	0.005	"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Erysipelotrichales"	"f__Erysipelatoclostridiaceae"	"g__UCG-004"	"s__unidentified_rumen"
"106"	"76e019a4719f6b89deddfd010ef3c117"	0	1	2	0.409806639135618	0.005	"d__Bacteria"	"p__Firmicutes"	"c__Negativicutes"	"o__Veillonellales-Selenomonadales"	"f__Selenomonadaceae"	"g__uncultured"	NA
"107"	"389207c170e9336fe2f827eed75cdada"	1	0	1	0.153292839092279	0.03	"d__Bacteria"	"p__Firmicutes"	"c__Negativicutes"	"o__Veillonellales-Selenomonadales"	"f__Selenomonadaceae"	"g__Selenomonas"	NA
"108"	"13054d0916989580e9a430a2fddf28f1"	1	0	1	0.300249042399607	0.005	"d__Bacteria"	"p__Firmicutes"	"c__Negativicutes"	"o__Veillonellales-Selenomonadales"	"f__Selenomonadaceae"	"g__Megamonas"	NA
